Общество с ограниченной ответственностью «Управляющая компания»;2636041729;355011, Ставропольский край,  г. Ставрополь,  ул. 45 Параллель, д. 39б;1032600962459
Общество с ограниченной ответственностью «ЖЭУ-7 «Септимо»;2634088070;55035, Ставропольский край,  г. Ставрополь,  ул. Лермонтова, 181;1092635015901
Общество с ограниченной ответственностью управляющая компания «Южный округ»;2635128085;355047, Ставропольский край,  г. Ставрополь, переулок Буйнакского,  дом 2 З, офис 88;1092635011523
Общество с ограниченной ответственностью «Торос»;2634040222;355000, Ставропольский край,  г. Ставрополь,  ул. Лермонтова, 193-А;1022601985086
Общество с ограниченной ответственностью «Северо-Запад»;2635085586;355044, Ставропольский край,  г. Ставрополь,  ул. Васильева,  д. 27;1062635000614
Общество с ограниченной ответственностью «Девятка»;2635117982;355044, Ставропольский край,  г. Ставрополь,  ул. Васильева, д. 27;1082635016970
Муниципальное унитарное жилищное ремонтно-эксплуатационное предприятие № 5 Октябрьского района города Ставрополя;2636032241;355035, Ставропольский край,  г. Ставрополь,  ул. Советская, д. 5;1022601973954
Общество с ограниченной ответственностью «Управляющая компания «ЖелезноводскЖилСервис»;2627023995;357405, Ставропольский край,  г. Железноводск, ул. Энегльса, д. 41, офис 1;1092647000445
Общество с ограниченной ответственностью «Управляющая компания Авдеев»;2635810114;355045, Ставропольский край,  г. Ставрополь.  ул. Пирогова. Д.62/1 кв.138;1122651005663
Общество с ограниченной ответственностью Управляющая компания «КМВ Строй 1»;2632003112;357500, Ставропольский край, г. Пятигорск, ул. Панагюриште, д. 16, корп. 2;1152651006045
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «РАКУРС»;2630804149;357202, Ставропольский край,  г. Минеральные Воды,  ул. Терешковой,  д. 18;1142651003527
Общество с ограниченной ответственностью Управляющая компания «КАЛИТА»;2615015326;356000, Ставропольский край, г. Новоалександровск,  ул. Карла Маркса, д. 97;1142651050541
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «УПРАВЛЯЮЩАЯ КОМПАНИЯ КОЧУБЕЕВСКОГО РАЙОНА»;2610801301;357000, Ставропольский край, Кочубеевский район,  с. Кочубеевское, ул. Октябрьской революции, 45;1142651026979
Общество с ограниченной ответственностью «Фортуна»;2625801897;357831, Ставропольский край,  г. Георгиевск,  ул. Тургенева,  д. 14;1132651031369
Общество с ограниченной ответственностью «Георгиевская Крепость»;2625801223;357827, Ставропольский край,  г. Георгиевск,  ул. Калинина, 121 корпус 1;1122651028323
Общество с ограниченной ответственностью «ПРОМЫШЛЕННО-СТРОИТЕЛЬНАЯ ФИРМА СУ-10»;2627017367;57433, Ставропольский край,  г. Железноводск, пос. Иноземцево, ул.Промышленная, д. 9;1022603424722
Общество с ограниченной ответственностью «КОНТАКТ»;2627024068;357433, Ставропольский край, поселок Иноземцево,  ул. Шоссейная,  д. 209;1092647000555
Общество с ограниченной ответственностью «Ассоциация сервиса»;2628802296;357700, Ставропольский край,  г. Кисловодск,  ул. Линейная, д.45;1132651028663
Общество с ограниченной ответственностью «Городская Управляющая Компания»;2628053551;357700, Ставропольский край,  г. Кисловодск,  ул. Островского, д. 33, кв. 26;1092628000574
Общество с ограниченной ответственностью «КИПАРИС»;2626039079;357600, Ставропольский край, г. Ессентуки, ул. Орджоникидзе, д. 81, корп. 1;1082650001807
Обществу с ограниченной ответственностью «Партнер СК»;2618018830;357350, Ставропольский край, Предгорный район,  ст. Ессентукская, ул. Эскадронная,  д 74/1;1082650000180
Общество с ограниченной ответственностью управляющая компания «Мастер-плюс»;2621003456;356170, Ставропольский край, Труновский район, с.Донское, ул. Титова, 62;1022603023850
Общество с ограниченной ответственностью «Ремонтно-эксплуатационная компания № 7»;2631804751;357100, Ставропольский край,  г. Невинномысск, ул. Гагарина, д. 55;1132651027409
Общество с ограниченной ответственностью УПРАВЛЯЮЩАЯ КОМПАНИЯ «ДРУЖБА»;2631805025;357010, Ставропольский край,  г. Невинномысск, ул. Шевченко, 6А;1132651031413
Общество с ограниченной ответственностью Управляющая компания «Осетинка»;2635813612;355003, Ставропольский край,  г. Ставрополь,  ул. Ленина, д. 359, кв. 43;1122651020997
Общество с ограниченной ответственностью «Управляющая Организация «Ваш уютный дом»;2635803639;355029, Ставропольский край,  г. Ставрополь, ул. Мира, д. 455, корп. А, офис 11;1112651006137
Государственное унитарное предприятие Ставропольского края «Ставропольский краевой теплоэнергетический комплекс»;2635060510;355037, Ставропольский край,  г. Ставрополь,  ул. Шпаковская, 76/6;1022601958610
Общество с ограниченной ответственностью «Жилищный стандарт»;2626801498;357600, Ставропольский край, г. Ессентуки, ул. Фрунзе, д. 46;1122651023990
Общество с ограниченной ответственностью «Взаимодействие»;2626801635;357600, Ставропольский край, г. Ессентуки, ул. Фрунзе, д. 46;1122651028103
Общество с ограниченной ответственностью «Жилфонд»;2626801508;357600, Ставропольский край, г. Ессентуки, ул. Фрунзе, д. 46;1122651024000
Общество с ограниченной ответственностью «Специализированное управление механизированного строительства»;2630026629;357217, Ставропольский край, Минераловодкий район,  п. Анджиевский, ул. Заводская,  д. 34, оф. 2;1022601449969
Общество с ограниченной ответственностью «Технико-Эксплуатационная группа»;2632808195;357340, Ставропольский край, г. Пятигорск, ул. Нежнова, д. 72;1132651014836
Общество с ограниченной ответственностью «Управляющая компания «ЖСК26»;2632006057;357538, Ставропольский край, г. Пятигорск, Бештаугорское шоссе, д. 26, стр. 1;1152651009830
Общество с ограниченной ответственностью Управляющая компания «Аркадия»;2632807547;357502, Ставропольский край,   г. Пятигорск, ул. Оранжерейная, д. 21, корп. 4,  кв. 54;1132651008082
Общество с ограниченной ответственностью «БАСТИОН»;2631805811;357114, Ставропольский край, г. Невинномысск, ул. Бульвар Мира, д.30, кв. 28;1142651017189
Общество с ограниченной ответственностью «Жилищная сервисная компания»;2632811350;357500, Ставропольский край, г. Пятигорск, ул. Крайнего, д. 36;1142651007487
Общество с ограниченной ответственностью управляющая компания «Александровское»;2601800125;356304, Ставропольский край, район Александровский, село Александровское, ул. Калинина, д. 27;1122651000670
Общество с ограниченной ответственностью «ДИНАСТИЯ»;2626043780;357634, Ставропольский край, г. Ессентуки, пер. Кирова, д. 12;1152651008267
Общество с ограниченной ответственностью «ИГНИС»;2619012291;357920, Ставропольский край, Советский район, с. Солдато-Александровское, ул. Шоссейная,  д. 17, кв. 17;1072641002796
Общество с ограниченной ответственностью «Гранд-Жильё»;2626044079;357600, Ставропольский край, г. Ессентуки, ул. Свердлова, д. 7, кв. 40;1152651013833
Общество с ограниченной ответственностью «Управляющая компания МКД»;2635209785;357047, Ставропольский край,  г. Ставрополь,  пер. Буйнакского, д. 2 корпус 3;1152651010600
Общество с ограниченной ответственностью «Престиж»;2634092541;355037, Ставропольский край, г. Ставрополь, ул. Серова, д. 6/1, офис 3;1152651013052
Муниципальное унитарное предприятие «Центр жилищно-коммунального хозяйства» Благодарненского городского округа Ставропольского края;2605009394;356420, Ставропольский край,  г. Благодарный,  ул. Московская, 250;1022602420532
Общество с ограниченной ответственностью Управляющая компания «ИНВЕСТОР-2020»;2309130979;357351, Ставропольский край, Предгорный район, станица Ессентукская,  ул. Гагарина, д. 7 Е;1122309001451
Общество с ограниченной ответственностью «СОДЕЙСТВИЕ»;2635211914;355000, Ставропольский край,  г. Ставрополь, проспект Юности, д. 9 А, офис 109 В;1152651019003
Общество с ограниченной ответственностью Управляющая компания города Ставрополя «Центральная»;2636208030;355003, Ставропольский край,  г. Ставрополь,  ул. Ленина, д. 351, оф. 3;1152651015000
Общество с ограниченной ответственностью «Пятая управляющая»;2635211544;355044, Ставропольский край,  г. Ставрополь, проспект Юности, д. 9 А, офис 109 А;1152651017518
Общество с ограниченной ответственностью Управляющая компания «Диалог»;2635808860;355003, Ставропольский край,  г. Ставрополь,  ул. М. Морозова,  д. 104, офис 1;1112651034847
Общество с ограниченной ответственностью Управляющая компания «Реконструкция»;2635210526;355029, Ставропольский край,  г. Ставрополь,  ул. Ленина, д. 392, оф. 403;1152651013536
Общество с ограниченной ответственностью «Управляющая компания «Кристалл»;2635210692;355029, Ставропольский край,  г. Ставрополь,  ул. Ленина, 417;1152651014306
Общество с ограниченной ответственностью «Надежный Дом»;2634093633;355037, Ставропольский край,  г. Ставрополь, ул. Шпаковская, д. 107А, офис 1;1152651022150
Общество с ограниченной ответственностью «Капитал Сервис»;2631802585;357100, Ставропольский край,  г. Невинномысск, ул. Гагарина, д. 51, кв. 84;1122651011757
Общество с ограниченной ответственностью Управляющая компания «Ремжилсервис»;2610018274;357000, Ставропольский край, Кочубеевский район,  с. Кочубеевское, ул. Скрипникова, д. 100, офис 6;1152651021093
Общество с ограниченной ответственностью «ФЛАГМАН»;2631034580;357114, Ставропольский край,  г. Невинномысск, бульвар Мира,  д. 30, кв. 28;1152651028243
Общество с ограниченной ответственностью «Управляющая компания «Стройресурс»;2634094362;355012, Ставропольский край,  г. Ставрополь,  ул. Добролюбова, д. 53;1152651027451
Общество с ограниченной ответственностью «Коммунальная служба плюс» Апанасенковского муниципального района Ставропольского края;2602006892;356720, Ставропольский край, Апанасенковский район, с. Дивное, ул. Красная, д. 4;1172651013611
Общество с ограниченной ответственностью «Изумрудный Город»;2634094098;355021, Ставропольский край,  г. Ставрополь,  ул. 45 Параллель, д. 75, офис 2;1152651025120
Общество с ограниченной ответственностью «КВАРТАЛ»;2631034654;357111, Ставропольский край,  г. Невинномысск, ул. Водопроводная,  д. 357 А;1152651029849
Общество с ограниченной ответственностью «Управляющая компания Кавказских Минеральных Вод»;2626045227;357633, Ставропольский край,  город Ессентуки, улица Большевистская, дом 59, корпус А;1162651055709
Общество с ограниченной ответственностью «Актив КМВ»;2626045273;357350, Ставропольский край, Предгорный район, станица Ессентукская,  ул. Гагарина,  д. 56А, помещение 6;1162651055874
Общество с ограниченной ответственностью Управляющая компания «Новая восьмая  г. Ставрополя»;2635218405;355042, Ставропольский край, г. Ставрополь, ул. 50 лет ВЛКСМ, д. 18, корп. б, офис 73;1162651057140
Общество с ограниченной ответственностью управляющая компания «Цель»;2634804326;355000, Ставропольский край,  г. Ставрополь,  ул. Доваторцев, д. 197, корп. Б,  оф. 5;1112651034870
Общество с ограниченной ответственностью «ЭКО – защита»;2634805640;355020, Ставропольский край,  г. Ставрополь,  ул. Достоевского, д. 75, кв.225;1122651014452
